smiles,canonical_smiles,bond_idx,begin_atom_idx,end_atom_idx,cut_label,reason,begin_segment_id,end_segment_id,begin_segment_type,end_segment_type
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,0,0,1,0,same_segment:ring_system,0,0,ring_system,ring_system
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,1,1,2,0,same_segment:ring_system,0,0,ring_system,ring_system
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,2,2,3,0,same_segment:ring_system,0,0,ring_system,ring_system
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,3,3,4,0,same_segment:ring_system,0,0,ring_system,ring_system
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,4,4,5,0,same_segment:ring_system,0,0,ring_system,ring_system
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,5,5,6,0,same_segment:ring_system,0,0,ring_system,ring_system
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,6,6,7,0,same_segment:ring_system,0,0,ring_system,ring_system
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,7,7,8,0,same_segment:ring_system,0,0,ring_system,ring_system
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,8,8,9,0,same_segment:ring_system,0,0,ring_system,ring_system
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,9,9,0,0,same_segment:ring_system,0,0,ring_system,ring_system
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,10,8,3,0,same_segment:ring_system,0,0,ring_system,ring_system
