name,smiles,canonical_smiles,num_segments,num_bonds,num_cut_bonds,image_path,bond_label_csv,segment_csv,error,ring_system,unsaturated_conjugated,heteroatom_cluster,terminal_heteroatom
ethylene,C=C,C=C,1,1,0,results/segmentation_visualization/0000_ethylene.png,results/segmentation_visualization/0000_ethylene_bond_labels.csv,results/segmentation_visualization/0000_ethylene_segments.csv,,0,1,0,0
butadiene,C=CC=C,C=CC=C,1,3,0,results/segmentation_visualization/0001_butadiene.png,results/segmentation_visualization/0001_butadiene_bond_labels.csv,results/segmentation_visualization/0001_butadiene_segments.csv,,0,1,0,0
allene,C=C=C,C=C=C,1,2,0,results/segmentation_visualization/0002_allene.png,results/segmentation_visualization/0002_allene_bond_labels.csv,results/segmentation_visualization/0002_allene_segments.csv,,0,1,0,0
propyne,CC#C,C#CC,1,2,1,results/segmentation_visualization/0003_propyne.png,results/segmentation_visualization/0003_propyne_bond_labels.csv,results/segmentation_visualization/0003_propyne_segments.csv,,0,1,0,0
acetone,CC(=O)C,CC(C)=O,1,3,2,results/segmentation_visualization/0004_acetone.png,results/segmentation_visualization/0004_acetone_bond_labels.csv,results/segmentation_visualization/0004_acetone_segments.csv,,0,1,0,0
acetamide,CC(=O)N,CC(N)=O,1,3,1,results/segmentation_visualization/0005_acetamide.png,results/segmentation_visualization/0005_acetamide_bond_labels.csv,results/segmentation_visualization/0005_acetamide_segments.csv,,0,1,0,0
methyl_acetate,CC(=O)OC,COC(C)=O,1,4,2,results/segmentation_visualization/0006_methyl_acetate.png,results/segmentation_visualization/0006_methyl_acetate_bond_labels.csv,results/segmentation_visualization/0006_methyl_acetate_segments.csv,,0,1,0,0
enone,CC=CC(=O)C,CC=CC(C)=O,1,5,2,results/segmentation_visualization/0007_enone.png,results/segmentation_visualization/0007_enone_bond_labels.csv,results/segmentation_visualization/0007_enone_segments.csv,,0,1,0,0
nitrobenzene,O=[N+]([O-])c1ccccc1,O=[N+]([O-])c1ccccc1,2,9,1,results/segmentation_visualization/0008_nitrobenzene.png,results/segmentation_visualization/0008_nitrobenzene_bond_labels.csv,results/segmentation_visualization/0008_nitrobenzene_segments.csv,,1,1,0,0
aniline,Nc1ccccc1,Nc1ccccc1,2,7,1,results/segmentation_visualization/0009_aniline.png,results/segmentation_visualization/0009_aniline_bond_labels.csv,results/segmentation_visualization/0009_aniline_segments.csv,,1,0,0,1
phenol,Oc1ccccc1,Oc1ccccc1,2,7,1,results/segmentation_visualization/0010_phenol.png,results/segmentation_visualization/0010_phenol_bond_labels.csv,results/segmentation_visualization/0010_phenol_segments.csv,,1,0,0,1
styrene,C=Cc1ccccc1,C=Cc1ccccc1,2,8,1,results/segmentation_visualization/0011_styrene.png,results/segmentation_visualization/0011_styrene_bond_labels.csv,results/segmentation_visualization/0011_styrene_segments.csv,,1,1,0,0
stilbene,c1ccccc1C=Cc2ccccc2,C(=Cc1ccccc1)c1ccccc1,3,15,2,results/segmentation_visualization/0012_stilbene.png,results/segmentation_visualization/0012_stilbene_bond_labels.csv,results/segmentation_visualization/0012_stilbene_segments.csv,,2,1,0,0
biphenyl,c1ccccc1-c2ccccc2,c1ccc(-c2ccccc2)cc1,1,13,0,results/segmentation_visualization/0013_biphenyl.png,results/segmentation_visualization/0013_biphenyl_bond_labels.csv,results/segmentation_visualization/0013_biphenyl_segments.csv,,1,0,0,0
pyridine,c1ccncc1,c1ccncc1,1,6,0,results/segmentation_visualization/0014_pyridine.png,results/segmentation_visualization/0014_pyridine_bond_labels.csv,results/segmentation_visualization/0014_pyridine_segments.csv,,1,0,0,0
thiophene,c1ccsc1,c1ccsc1,1,5,0,results/segmentation_visualization/0015_thiophene.png,results/segmentation_visualization/0015_thiophene_bond_labels.csv,results/segmentation_visualization/0015_thiophene_segments.csv,,1,0,0,0
indole,c1ccc2[nH]ccc2c1,c1ccc2[nH]ccc2c1,1,10,0,results/segmentation_visualization/0016_indole.png,results/segmentation_visualization/0016_indole_bond_labels.csv,results/segmentation_visualization/0016_indole_segments.csv,,1,0,0,0
decalin,C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,1,11,0,results/segmentation_visualization/0017_decalin.png,results/segmentation_visualization/0017_decalin_bond_labels.csv,results/segmentation_visualization/0017_decalin_segments.csv,,1,0,0,0
chlorobenzene,Clc1ccccc1,Clc1ccccc1,2,7,1,results/segmentation_visualization/0018_chlorobenzene.png,results/segmentation_visualization/0018_chlorobenzene_bond_labels.csv,results/segmentation_visualization/0018_chlorobenzene_segments.csv,,1,0,0,1
ethanol,CCO,CCO,1,2,1,results/segmentation_visualization/0019_ethanol.png,results/segmentation_visualization/0019_ethanol_bond_labels.csv,results/segmentation_visualization/0019_ethanol_segments.csv,,0,0,0,1
diethyl_ether,CCOCC,CCOCC,0,4,0,results/segmentation_visualization/0020_diethyl_ether.png,results/segmentation_visualization/0020_diethyl_ether_bond_labels.csv,results/segmentation_visualization/0020_diethyl_ether_segments.csv,,0,0,0,0
triethylamine,CCN(CC)CC,CCN(CC)CC,0,6,0,results/segmentation_visualization/0021_triethylamine.png,results/segmentation_visualization/0021_triethylamine_bond_labels.csv,results/segmentation_visualization/0021_triethylamine_segments.csv,,0,0,0,0
